,SDGs 01,SDGs 02,SDGs 03,SDGs 04,SDGs 05,SDGs 06,SDGs 07,SDGs 08,SDGs 09,SDGs 10,SDGs 11,SDGs 12,SDGs 13,SDGs 14,SDGs 15,SDGs 16,SDGs 17
,,,peripartum mortality,,,water conservation,OTEC Power plants,,,transnational migrants,,,,prevent* overfishing*,,,
,,,pertussis,,,water conservation measures,oven*,,,transnational migration,,,,Pristiphoca,,,
,,,pertussis epidemic,,,water conservation policies,OWC,,,Trinidad and Tobago,,,,processing of image data,,,
,,,pertussis epidemics,,,water conservation policy,OWC plant,,,Tunisia,,,,produced water,,,
,,,pertussis outbreak,,,water conservation practice,OWC plants,,,Turkey,,,,Programme of Action,,,
,,,pertussis outbreaks,,,water conservation practices,OWC Power,,,Turkmenistan,,,,prohibition,,,
,,,pertussis transmission,,,water conservation technologies,OWC Power Plant,,,Turks and Caicos Islands,,,,Properiptychus,,,
,,,pertussis vaccination,,,water conservation technology,OWC Power Plants,,,Tuvalu,,,,prostat*,,,
,,,pertussis vaccine,,,water consumption,oxidative steam reforming,,,Uganda,,,,protect fish population,,,
,,,pertussis vaccines,,,water contaminants,P-NBI,,,Ukraine,,,,protect fish populations,,,
,,,Peru,,,water contaminated,p3ht,,,unauthorized emigration,,,,protect fish stocks,,,
,,,pesticide,,,water contamination,parabolic collector*,,,unauthorized immigrant,,,,protect*,,,
,,,pesticides,,,water cooperation,parabolic concentrator*,,,unauthorized immigrants,,,,protect* coral* reef*,,,
,,,ph1n1,,,water demand,parabolic dish,,,unauthorized immigration,,,,protect* ecosystem*,,,
,,,pharmaco-dependence,,,water demands,parabolic dish collector*,,,unauthorized migrant,,,,protect* habitat*,,,
,,,pharmacodependence,,,water Desalination,parabolic solar,,,unauthorized migrants,,,,protect* marine* ecosys*,,,
,,,Philippines,,,Water development and management,parabolic solar concentrators,,,unauthorized migration,,,,protected area,,,
,,,phone*,,,water disinfection,Parabolic trough,,,undocumented child,,,,protected areas,,,
,,,physician education,,,water distribution,Parabolic troughs,,,undocumented children,,,,protected* marine* area*,,,
,,,physician recruitment,,,water distribution network,paraffinic diesel fuel*,,,undocumented emigrant,,,,Proterozoic,,,
,,,physician retention,,,water distribution networks,paraffinic fuel*,,,undocumented emigrants,,,,proterozoic,,,
,,,physician shortage,,,water distribution system,parallel hev,,,undocumented emigration,,,,Pseudorca crassidens,,,
,,,physician shortages,,,water distribution systems,parallel hevs,,,undocumented immigrant,,,,Psorospermium,,,
,,,physician trainee,,,water eco-system,parallel hybrid*,,,undocumented immigrants,,,,psychrosphere*,,,
,,,physician training,,,water eco-system protection,passenger bus,,,undocumented immigration,,,,Ptychocheilus,,,
,,,physician turnover,,,water eco-system rehabilitation,passenger buses,,,undocumented labor,,,,public outreach,,,
,,,physicians recruitment,,,water eco-system restoration,passive apartment*,,,undocumented labour,,,,pulsar,,,
,,,physicians retention,,,water eco-systems,passive dwelling*,,,undocumented Latino,,,,puntioplites falcifer*,,,
,,,physicians trainees,,,water eco-systems protection,passive home*,,,undocumented Latinos,,,,Pusa caspica,,,
,,,physicians training,,,water eco-systems rehabilitation,passive house*,,,undocumented migrant,,,,Pusa hispida,,,
,,,physicians turnover,,,water eco-systems restoration,passive residen*,,,undocumented migrants,,,,Pusa sibirica,,,
,,,plague,,,water ecosystem,Passive* house*,,,undocumented migration,,,,pycnocline*,,,
,,,plague control,,,water ecosystem protection,Paulo Afonso IV,,,undocumented parent,,,,pycnostad*,,,
,,,plague epidemic,,,water ecosystem rehabilitation,pcbm,,,undocumented parents,,,,QUASIMEME,,,
,,,plague epidemics,,,water ecosystem restoration,peak load shifting,,,undocumented status,,,,race,,,
,,,plague outbreak,,,water ecosystems,pedestal,,,undocumented student,,,,racing,,,
,,,plague outbreaks,,,water ecosystems protection,pedot,,,undocumented students,,,,radioactivity,,,
,,,plague pandemic,,,water ecosystems rehabilitation,PEGASUS,,,undocumented worker,,,,radiolaria*,,,
,,,plague pandemics,,,water ecosystems restoration,Pelton runner*,,,undocumented workers,,,,radionuclides,,,
,,,plague prevention,,,water efficiency,Pelton turbine*,,,undocumented youth,,,,Rainbow trout,,,
,,,plague surveillance,,,water efficiency labelling,Pelton wheel*,,,undocumented youths,,,,recreational diver,,,
,,,plague transmission,,,water efficient,PEMFC,,,United Nations,,,,recreational fishing,,,
,,,plague vaccine,,,water efficient appliances,PEMFCs,,,universal health care,,,,red drum,,,
,,,plague vaccines,,,water efficient buildings,penstock*,,,universal health coverage,,,,Red Drum,,,
,,,Planned Parenthood,,,water efficient dishwasher,permanent magnet synchronous machine,,,universal healthcare,,,,red tide*,,,
,,,plant,,,water efficient dishwashers,permanent magnet synchronous machines,,,Universal Postal Union,,,,reduce vulnerability,,,
,,,plants,,,water efficient faucets,permanent magnet synchronous motor,,,upward mobility,,,,reef,,,
,,,PM 10 exposure,,,water efficient industry,permanent magnet synchronous motors,,,Uzbekistan,,,,reef restoration,,,
,,,PM 2.5 exposure,,,water efficient policies,pev,,,Vanuatu,,,,reef*,,,
,,,PM exposure,,,water efficient policy,pev charging,,,Venezuela,,,,reefs,,,
,,,PM10,,,water efficient shower,pevs charging,,,Viet Nam,,,,regulation,,,
,,,PM10 exposure,,,water efficient showerhead,pharmacy,,,Virgin Islands,,,,regulations,,,
,,,PM2.5,,,water efficient showerheads,Pharmacy,,,wage differential,,,,remediation,,,
,,,PM2.5 exposure,,,water efficient toilet,phev,,,wage differentials,,,,removal of phosphate,,,
,,,pneumonia,,,water efficient toilets,phevs,,,wage discrimination,,,,removal phosphorus,,,
,,,poisoning,,,water efficient use,phone*,,,wage disparities,,,,Rena,,,
,,,pollutant,,,water efficient washing,photo-bio fuel*,,,wage disparity,,,,repopulate,,,
,,,pollutant exposure,,,water footprint,photo-electro-chemical cell,,,wage distribution,,,,research funding,,,
,,,pollutant exposures,,,water footprint assessment,photo-electro-chemical cells,,,wage distributions,,,,resilien*,,,
,,,pollutants,,,Water Framework Directive,photo-electrochemical cell,,,wage equality,,,,resilience,,,
,,,polluted,,,water governance,photo-electrochemical cells,,,wage gap,,,,resilience analysis,,,
,,,pollution,,,water harvest,photo-electrochemical generation of hydrogen,,,wage gaps,,,,resilience and recovery,,,
,,,pollution and health,,,water harvesting,photo-fermentation,,,wage growth,,,,resilient community,,,
,,,pollution epidemiology,,,water hygiene,photobio fuel*,,,wage increase,,,,resilient infrastructure,,,
,,,pollution exposure,,,water infrastructure,Photobiological,,,wage increases,,,,resistan*,,,
,,,pollution exposures,,,water infrastructures,photocatalyst,,,wage inequalities,,,,resistance of coral,,,
,,,poor countries,,,water law,photocatalytic H2,,,wage inequality,,,,resistance of corals,,,
,,,poor country,,,water laws,photocatalytic hydrogen,,,wage inequities,,,,resistant to acidification,,,
,,,poor nation,,,water legislation,photochemotherap*,,,wage inequity,,,,resort tourism,,,
,,,poor nations,,,water legislations,photoelectro-chemical cell,,,wage mobility,,,,responsible,,,
,,,post-natal care,,,water management,photoelectro-chemical cells,,,Wall Street reform,,,,restoration,,,
,,,post-natal death,,,water management in,photoelectrochemical cell*,,,war refugee,,,,restoration activities,,,
,,,post-natal deaths,,,water management model,photoelectrolysis water splitting,,,war refugees,,,,restoration efforts,,,
,,,post-natal health,,,water management models,photofermentation,,,wealth differential,,,,restoration of beaches,,,
,,,post-natal morbidities,,,water meter,photosynthe*,,,wealth differentials,,,,restoration of coastal ecosystem,,,
,,,post-natal morbidity,,,water meters,phototherap*,,,wealth disparities,,,,restoration of dune,,,
,,,post-natal mortalities,,,water planification,photovoltaic,,,wealth disparity,,,,restoration of dunes,,,
,,,post-natal mortality,,,water Planning,photovoltaic*,,,wealth distribution,,,,restoration of eelgrass,,,
,,,post-natal survival,,,water policies,physio*,,,wealth distributions,,,,restoration of fish habitat,,,
,,,post-neonatal care,,,water policy,phytotoxicity,,,wealth gap,,,,restoration of island,,,
,,,post-neonatal death,,,water politics,pico-hydro,,,wealth gaps,,,,restoration of islands,,,
,,,post-neonatal deaths,,,water pollutants,Piezoelectric*,,,wealth heterogeneity,,,,restoration of mangrove,,,
,,,post-neonatal health,,,water pollution,piezoelectric*,,,wealth inequalities,,,,restoration of mangrove forests,,,
,,,post-neonatal healthcare,,,water pre-treatment,pipe network*,,,wealth inequality,,,,restoration of mangroves,,,
,,,post-neonatal morbidities,,,water pretreatment,plankton,,,wealth inequities,,,,restoration of marine,,,
,,,post-neonatal morbidity,,,water production,plant,,,wealth inequity,,,,restoration of marine ecosystem,,,
,,,post-neonatal mortalities,,,Water productivity,plantation*,,,wealth mobility,,,,restoration of marine ecosystems,,,
,,,post-neonatal mortality,,,water productivity,plants,,,wealth redistribution,,,,restoration of ocean,,,
,,,post-neonatal survival,,,water project,plasma,,,wealth tax,,,,restoration of Oil Spill,,,
,,,post-partum bleeding,,,water projects,plasma facing components,,,wealth taxation,,,,restoration of oyster reef,,,
,,,post-partum blood loss,,,water provisioning,plasma focus*,,,wealth taxes,,,,restoration of oyster reefs,,,
,,,post-partum care,,,Water quality,plug-in,,,worker with disabilities,,,,restoration of reef,,,
,,,post-partum haemorrhage,,,water quality,plug-in electric,,,worker with disability,,,,restoration of reefs,,,
,,,post-partum hemorrhage,,,water quality guideline,plug-in electric vehicle*,,,workers with disabilities,,,,restoration of salt marsh,,,
,,,post-partum morbidities,,,water quality guidelines,plug-in hev,,,workers with disability,,,,restoration of seagrass,,,
,,,post-partum morbidity,,,Water quality monitoring,plug-in hevs,,,workforce diversity,,,,restoration of shoreline,,,
,,,post-partum mortalities,,,water resource,plug-in hybrid electric vehicle*,,,workplace discrimination,,,,restoration of wetland,,,
,,,post-partum mortality,,,water Resource,plug-in hybrid*,,,workplace diversity,,,,restoration of wetlands,,,
,,,post-partum survival,,,water resource allocation,plug-in vehicle*,,,workplace inclusion,,,,restoration program,,,
,,,postnatal care,,,water resource development,plugin electric,,,World Bank,,,,restoration programs,,,
,,,postnatal death,,,water resource efficiency,plugin hev,,,World Health Organization,,,,restoration project,,,
,,,postnatal deaths,,,water resource legislation,plugin hevs,,,World Intellectual Property Organization,,,,restoration projects,,,
,,,postnatal health,,,water resource management,plugin hybrid*,,,World Meteorological Organization,,,,restore,,,
,,,postnatal healthcare,,,water resource planification,plugin vehicle*,,,World Trade Center,,,,restore* ecosystem*,,,
,,,postnatal morbidities,,,water resource planning,pollution,,,World Trade Organization,,,,restore* mangrove* forest*,,,
,,,postnatal morbidity,,,water resource Planning,pollution of geothermal,,,world* trad*,,,,Rhinichthys,,,
,,,postnatal mortalities,,,water resource scarcity ,poloidal,,,worldwide* trad*,,,,rhodophyta*,,,
,,,postnatal mortality,,,water resource system,"Poly(3,4-ethylenedioxythiophene)",,,Yemen,,,,Rhyacian,,,
,,,postnatal survival,,,water resource systems,Poly(3-hexylthiophene),,,Zambia,,,,rhyacian,,,
,,,postneonatal care,,,water Resources,Poly-crystalline silicon,,,Zimbabwe,,,,Ribbon Seal,,,
,,,postneonatal death,,,water resources,Polycrystalline silicon,,,,,,,Ribbon Seals,,,
,,,postneonatal deaths,,,water resources allocation,polymer-electrolyte membrane*,,,,,,,Right Whale,,,
,,,postneonatal health,,,water resources development,poor,,,,,,,Right Whales,,,
,,,postneonatal healthcare,,,water resources legislation,portable application*,,,,,,,Rightwhale Dolphin,,,
,,,postneonatal morbidities,,,water resources management,portable device*,,,,,,,Rightwhale Dolphins,,,
,,,postneonatal morbidity,,,water resources planification,positive energy district*,,,,,,,Ringed Seal,,,
,,,postneonatal mortalities,,,water resources Planning,power,,,,,,,Ringed Seals,,,
,,,postneonatal mortality,,,water resources planning,power consumption,,,,,,,Risso Dolphin*,,,
,,,postneonatal survival,,,water resources scarcity ,power converter*,,,,,,,river dolphin,,,
,,,postpartum bleeding,,,water resources system,power efficien*,,,,,,,river dolphins,,,
,,,postpartum blood loss,,,water resources systems,power grid,,,,,,,river ecosystem*,,,
,,,postpartum care,,,Water reuse,power optimisation,,,,,,,river export of nutrients,,,
,,,postpartum death,,,water safety plan,power optimization,,,,,,,river habitat*,,,
,,,postpartum deaths,,,water safety plans,power plant,,,,,,,rockbream*,,,
,,,postpartum haemorrhage,,,water sanitation,power save mode,,,,,,,rockfish,,,
,,,postpartum hemorrhage,,,water saving,power saving mode,,,,,,,rockfish*,,,
,,,postpartum morbidities,,,water Saving Appliance,power saving*,,,,,,,Ross Seal,,,
,,,postpartum morbidity,,,water Saving Appliances,power system automation,,,,,,,Ross Seals,,,
,,,postpartum mortalities,,,water Saving faucets,power train electrification,,,,,,,Rough_Toothed Dolphin,,,
,,,postpartum mortality,,,water Saving industries,power train*,,,,,,,Rough_Toothed Dolphins,,,
,,,postpartum survival,,,water Saving shower,power wind applications,,,,,,,Ruditapes,,,
,,,poultry,,,water Saving showerhead,power wind system,,,,,,,runner,,,
,,,pre-natal care,,,water Saving showerheads,power wind systems,,,,,,,running,,,
,,,pre-natal deaths,,,water Saving washing,power-assist hev,,,,,,,Rutilus,,,
,,,pre-natal health,,,water savings,power-assist hevs,,,,,,,Sabellid Polychaete*,,,
,,,pre-natal healthcare,,,water scarce,power-assist hybrid*,,,,,,,safeguard* ecosystem*,,,
,,,pre-natal morbidities,,,water scarcity,power-split hev,,,,,,,Sailfish,,,
,,,pre-natal mortalities,,,water security,power-split hevs,,,,,,,Saint Kitts and Nevis,,,
,,,pre-natal survival,,,water shortage,power-split hybrid*,,,,,,,Saint Lucia,,,
,,,pregnancy care,,,water storage,Power-Take-Off,,,,,,,Saint Vincent and the Grenadines,,,
,,,pregnancy failure,,,water supplies,powertrain electrification,,,,,,,Sakhalin sturgeon,,,
,,,pregnancy health,,,water supply,powertrain*,,,,,,,salar,,,
,,,pregnancy healthcare,,,water supply and sanitation,production well*,,,,,,,Salish Sea,,,
,,,pregnancy loss,,,water supply governance,program thermostat*,,,,,,,Salmo platycephalus,,,
,,,pregnancy losses,,,water supply infrastructure,prosumer,,,,,,,Salmo salar,,,
,,,pregnancy morbidities,,,water supply infrastructures,Proto-SPHERA,,,,,,,salmo*,,,
,,,pregnancy morbidity,,,water supply project,proton exchange membrane,,,,,,,salmon,,,
,,,pregnancy mortalities,,,water supply projects,proton exchange membrane*,,,,,,,salmon habitat restoration,,,
,,,pregnancy mortality,,,water supply sanitation,proton exchange membranes,,,,,,,salmonella*,,,
,,,pregnancy-associated death,,,water supply system,PTO system,,,,,,,salt marsh,,,
,,,pregnancy-associated deaths,,,Water supply system,public bus,,,,,,,salt marsh restoration,,,
,,,pregnancy-associated morbidities,,,Water supply systems,public buses,,,,,,,salt marshes,,,
,,,pregnancy-associated morbidity,,,water supply systems,public transit,,,,,,,saltmarsh*,,,
,,,pregnancy-associated mortalities,,,water sustainability,public transport,,,,,,,salvelinus,,,
,,,pregnancy-associated mortality,,,water system management,public transport*,,,,,,,Samoa,,,
,,,pregnancy-related death,,,water treatment,Pubugou Dam,,,,,,,Sanchi,,,
,,,pregnancy-related deaths,,,Water treatment,Pump as turbine,,,,,,,sanctuar*,,,
,,,pregnancy-related morbidities,,,water treatment facilities,Pump as turbines,,,,,,,Sao Tome and Principe,,,
,,,pregnancy-related morbidity,,,water treatment facility,pump turbine,,,,,,,Sardina pilchardus,,,
,,,pregnancy-related mortality,,,water treatment plant,pump turbines,,,,,,,Sardinella,,,
,,,pregnancyassociated death,,,water treatment plants,Pump-storage power,,,,,,,Sardinops,,,
,,,pregnancyassociated deaths,,,water treatment technologies,pumped hydro storage plant,,,,,,,Sargasso Sea,,,
,,,pregnancyassociated morbidities,,,water treatment technology,pumped hydro storage plants,,,,,,,Savu Sea,,,
,,,pregnancyassociated morbidity,,,water use efficiency,pumped hydroelectric storage plant,,,,,,,Sawback angelshark,,,
,,,pregnancyassociated mortalities,,,water well,pumped hydroelectric storage plants,,,,,,,scallop culture*,,,
,,,pregnancyassociated mortality,,,water wells,pumped hydroenergy,,,,,,,scallop farm*,,,
,,,pregnancyrelated death,,,water withdrawal,pumped storage power,,,,,,,scallop*,,,
,,,pregnancyrelated deaths,,,water withdrawals,Pumped-storage facilities,,,,,,,Scalloped hammerhead,,,
,,,pregnancyrelated morbidities,,,water*,Pumped-storage facility,,,,,,,Scamp,,,
,,,pregnancyrelated morbidity,,,water* manag*,Pumped-storage plant,,,,,,,science funding,,,
,,,pregnancyrelated mortality,,,water* plan*,Pumped-storage plants,,,,,,,Scomber*,,,
,,,premature death,,,water* recycl*,Pumped-storage power plant,,,,,,,scophthalmus,,,
,,,premature deaths,,,water* resource* plan*,Pumped-storage power plants,,,,,,,sculpin,,,
,,,prenatal care,,,"water, sanitation and hygiene",Pumped-storage power station,,,,,,,scuticociliatosis,,,
,,,prenatal death,,,water-harvesting,Pumped-storage power stations,,,,,,,SEA,,,
,,,prenatal deaths,,,water-related political,Pumps as turbine,,,,,,,sea,,,
,,,prenatal health,,,water-saving,Pumps as turbines,,,,,,,Sea Bass,,,
,,,prenatal healthcare,,,water-saving technologies,PV,,,,,,,sea bream,,,
,,,prenatal morbidities,,,water-saving technology,PV batter*,,,,,,,Sea Empress,,,
,,,prenatal morbidity,,,water-savings,PV cell*,,,,,,,sea lettuce,,,
,,,prenatal mortalities,,,waterbodies,PV energy,,,,,,,sea level,,,
,,,prenatal mortality,,,waterbody,PV hybrid*,,,,,,,sea level ris*,,,
,,,prenatal survival,,,waterborne,PV module,,,,,,,sea level rise,,,
,,,prevention of addiction,,,waterharvesting,PV modules,,,,,,,Sea Lion,,,
,,,prevention of addictions,,,waterrelated political,PV panel*,,,,,,,sea lion,,,
,,,prevention of aids,,,waters,PV power,,,,,,,Sea Lions,,,
,,,prevention of epidemics,,,watersaving,pyrolysis,,,,,,,sea mink,,,
,,,prevention of hcv,,,watersaving technologies,pyrolysis of bio-mass,,,,,,,Sea Mullet,,,
,,,prevention of hepatitis c,,,watersaving technology,pyrolysis of biomass,,,,,,,Sea of Azov,,,
,,,prevention of hiv,,,watersavings,pyrolysis oil*,,,,,,,sea of change,,,
,,,prevention of infectious diseases,,,watershed,QL-CA-Afex,,,,,,,Sea of Crete,,,
,,,prevention of influenza,,,Watsan,QLCAAfex,,,,,,,Sea of Japan,,,
,,,prevention of malaria,,,well water,Quads,,,,,,,Sea of Okhotsk,,,
,,,prevention of mrsa,,,wells,Radiant* heat*,,,,,,,Sea of the Hebrides,,,
,,,prevention of outbreaks,,,wetland,radio,,,,,,,Sea otter,,,
,,,prevention of pandemics,,,wetland preservation,radiotherap*,,,,,,,sea shipping,,,
,,,prevention of tuberculosis,,,wetland protection,railway,,,,,,,sea spill,,,
,,,primary care access,,,wetland rehabilitation,railway electrification,,,,,,,sea spills,,,
,,,pro-choice,,,wetland restoration,railway*,,,,,,,sea urchin,,,
,,,pro-life,,,wetlands,railways,,,,,,,sea-level,,,
,,,prochoice,,,wetlands preservation,rankine,,,,,,,SeaBass,,,
,,,prolife,,,wetlands protection,reactive power sharing,,,,,,,seabass*,,,
,,,propagation of diseases,,,wetlands rehabilitation,reactor,,,,,,,seabed governance,,,
,,,propagation of epidemics,,,wetlands restoration,real-time pricing,,,,,,,seabed pipeline*,,,
,,,propagation of infectious diseases,,,withdrawal,recharging infrastructure*,,,,,,,seabird,,,
,,,propagation of viruses,,,withdrawals,recharging point*,,,,,,,seabirds,,,
,,,protection against pertussis,,,wwtp,recharging spot*,,,,,,,seabream*,,,
,,,psychostimulant,,,,recharging station*,,,,,,,seafloor,,,
,,,psychostimulant abuse,,,,refrigeration,,,,,,,seagrass restoration,,,
,,,psychostimulant addiction,,,,refrigerator*,,,,,,,seal,,,
,,,psychostimulant dependence,,,,reinjection,,,,,,,sealevel,,,
,,,psychostimulants,,,,reliable electricity,,,,,,,Searobin,,,
,,,public opinion,,,,reliable energy,,,,,,,seas,,,
,,,pulmonary embolism,,,,removal,,,,,,,SEAS,,,
,,,pulmonary hypertension,,,,renewable,,,,,,,SeaSoar*,,,
,,,rabies,,,,renewable aviation fuel*,,,,,,,seawater acidification,,,
,,,reckless driving,,,,renewable diesel,,,,,,,seawater pH decrease,,,
,,,recruiting doctors,,,,renewable electricity,,,,,,,seawater polluted,,,
,,,recruiting health personnel,,,,renewable energy,,,,,,,seawater pollution,,,
,,,recruiting health professionals,,,,renewable fuel*,,,,,,,seawater*,,,
,,,recruiting health workers,,,,renewable gasoline,,,,,,,seaweed*,,,
,,,recruiting health-care personnel,,,,renewable jet fuel*,,,,,,,sebaste*,,,
,,,recruiting health-care professionals,,,,renewable liquid fuel*,,,,,,,Sei Whale,,,
,,,recruiting health-care workers,,,,renewable natural gas,,,,,,,Sei whale,,,
,,,recruiting healthcare personnel,,,,renewable ocean energy,,,,,,,Sei Whales,,,
,,,recruiting healthcare professionals,,,,renewable petrol,,,,,,,seiche*,,,
,,,recruiting healthcare workers,,,,renewable tidal energy,,,,,,,Senegal,,,
,,,recruiting medical,,,,renewable wave energy,,,,,,,seriola,,,
,,,recruiting nurses,,,,Reservoir*,,,,,,,Seto Inland Sea,,,
,,,recruiting physicians,,,,reservoir*,,,,,,,settlement of dispute,,,
,,,recruitment of doctors,,,,residen electric efficien*,,,,,,,settlement of disputes,,,
,,,recruitment of health personnel,,,,residen electric saving*,,,,,,,Settlement of ocean disputes,,,
,,,recruitment of health professionals,,,,residen energy efficien*,,,,,,,sewage pollution,,,
,,,recruitment of health workers,,,,residen energy saving*,,,,,,,Seychelles,,,
,,,recruitment of health-care personnel,,,,residen power saving*,,,,,,,sharing knowledge,,,
,,,recruitment of health-care professionals,,,,residential,,,,,,,sharing of knowledge,,,
,,,recruitment of health-care workers,,,,restoration,,,,,,,shark,,,
,,,recruitment of healthcare personnel,,,,Revelstoke Dam,,,,,,,Shark,,,
,,,recruitment of healthcare professionals,,,,RFX,,,,,,,sharks,,,
,,,recruitment of healthcare workers,,,,road transport*,,,,,,,Sheepshead,,,
,,,recruitment of medical,,,,Robert-Bourassa,,,,,,,shellfish*,,,
,,,recruitment of nurses,,,,rocket,,,,,,,shi drum,,,
,,,recruitment of physicians,,,,rocket*,,,,,,,shore,,,
,,,relapsing fever,,,,rockets,,,,,,,shoreline,,,
,,,remote work*,,,,rotor,,,,,,,shoreline restoration,,,
,,,reproductive autonomy,,,,rotor side converter,,,,,,,shorelines,,,
,,,reproductive care,,,,rotor*,,,,,,,Shortnose sturgeon,,,
,,,reproductive choice,,,,rotors,,,,,,,shrimp,,,
,,,reproductive choices,,,,rover,,,,,,,shrimp culture,,,
,,,reproductive freedom,,,,rover*,,,,,,,shrimp farm,,,
,,,reproductive health,,,,Run-of-river hydro power,,,,,,,shrimp farming,,,
,,,reproductive healthcare,,,,Run-of-river hydroelectric,,,,,,,shrimp*,,,
,,,reproductive justice,,,,Run-of-river hydropower,,,,,,,shrimp* farm*,,,
,,,reproductive liberty,,,,Run-of-river power,,,,,,,siderian,,,
,,,reproductive morbidities,,,,run-of-the-river hydro electric,,,,,,,Siderian,,,
,,,reproductive morbidity,,,,run-of-the-river hydro power,,,,,,,SIDS,,,
,,,reproductive mortalities,,,,run-of-the-river hydroelectric,,,,,,,Sierra Leone,,,
,,,reproductive mortality,,,,run-of-the-river hydropower,,,,,,,signal restoration,,,
,,,reproductive policies,,,,run-of-the-river power,,,,,,,silurian,,,
,,,reproductive policy,,,,runner blade*,,,,,,,Silurian,,,
,,,reproductive rights,,,,rural,,,,,,,Silurus,,,
,,,resilien*,,,,rural electricity,,,,,,,Silver Perch,,,
,,,respiratory disease,,,,rural electrification,,,,,,,Silver Snapper,,,
,,,respiratory diseases,,,,rural energy,,,,,,,Singapore,,,
,,,response to epidemics,,,,salinity gradient energy,,,,,,,Sint Maarten,,,
,,,response to infectious diseases,,,,salinity gradient power,,,,,,,Skate,,,
,,,response to outbreaks,,,,salmon,,,,,,,Small Island Developing State,,,
,,,response to pandemics,,,,Santo Antonio,,,,,,,Small Scale Fisheries,,,
,,,retaining doctors,,,,satellite,,,,,,,small* island*,,,
,,,retaining health personnel,,,,savonius turbine*,,,,,,,small*-scale* fish*,,,
,,,retaining health professionals,,,,Sayano-Shushenskaya,,,,,,,small-scale fisheries,,,
,,,retaining health workers,,,,scooter,,,,,,,small-scale fisheries governance,,,
,,,retaining health-care personnel,,,,scooter*,,,,,,,smallscale fisheries,,,
,,,retaining health-care professionals,,,,scooters,,,,,,,smallscale fisheries governance,,,
,,,retaining health-care workers,,,,Screw runner,,,,,,,smallscale* fish*,,,
,,,retaining healthcare personnel,,,,Screw turbine*,,,,,,,smoothback angelshark,,,
,,,retaining healthcare professionals,,,,seagull airfoil,,,,,,,Snapper,,,
,,,retaining healthcare workers,,,,SEIG,,,,,,,Snubfin Dolphin*,,,
,,,retaining nurses,,,,self excited induction,,,,,,,social resilience,,,
,,,retaining physicians,,,,self heal*,,,,,,,socio*-economic* benefit*,,,
,,,retention of doctors,,,,semiconductor bulb*,,,,,,,socio-ecological,,,
,,,retention of health personnel,,,,semiconductor lamp*,,,,,,,socioecological,,,
,,,retention of health professionals,,,,semiconductor light*,,,,,,,socioeconomic* impact*,,,
,,,retention of health workers,,,,series hev,,,,,,,Sockeye salmon,,,
,,,retention of health-care personnel,,,,series hevs,,,,,,,sockeye*,,,
,,,retention of health-care professionals,,,,series hybrid*,,,,,,,soil conservation,,,
,,,retention of health-care workers,,,,service*,,,,,,,soil*,,,
,,,retention of healthcare personnel,,,,Shallow geothermal,,,,,,,solea,,,
,,,retention of healthcare professionals,,,,ship,,,,,,,Solomon Islands,,,
,,,retention of healthcare workers,,,,ships,,,,,,,Solomon Sea,,,
,,,retention of nurses,,,,short rotation coppice*,,,,,,,solutions,,,
,,,retention of physicians,,,,shutdown dose rate,,,,,,,Somalia,,,
,,,retinoblastoma,,,,silica ceramics,,,,,,,Sotalia,,,
,,,right to abortion,,,,silicon-air,,,,,,,Sousa,,,
,,,right to health-care,,,,siliconair,,,,,,,Sousa chinensis,,,
,,,right to healthcare,,,,small hydro,,,,,,,Sousa teuszii,,,
,,,right to medical care,,,,small* island*,,,,,,,South Asian river dolphin,,,
,,,rights to abortion,,,,smart air condition*,,,,,,,South China Sea,,,
,,,risky alcohol consumption,,,,smart apartment*,,,,,,,South Pacific Tuna Treaty,,,
,,,risky alcohol use,,,,smart applianc*,,,,,,,Southern Indian Ocean Fisheries Agreement,,,
,,,risky drinker,,,,smart appliance*,,,,,,,Spadefish,,,
,,,risky drinkers,,,,smart building*,,,,,,,sparid*,,,
,,,risky drinking,,,,smart cities,,,,,,,sparus,,,
,,,risky driver,,,,smart citizen*,,,,,,,spatial planning,,,
,,,risky drivers,,,,smart city,,,,,,,spawning,,,
,,,risky driving,,,,smart cool*,,,,,,,species conservation,,,
,,,road accident,,,,smart device*,,,,,,,species of fish,,,
,,,road accidents,,,,smart dish washer*,,,,,,,Speckled Hind,,,
,,,road casualties,,,,smart dish-washer*,,,,,,,Sperm whale,,,
,,,road casualty,,,,smart dishwasher*,,,,,,,Sperm whales,,,
,,,road collision,,,,smart dishwasher* or ,,,,,,,Sphyrna lewini,,,
,,,road collisions,,,,smart district*,,,,,,,sphyrna*,,,
,,,road crash,,,,smart dryer*,,,,,,,spill,,,
,,,road crashes,,,,smart dwelling*,,,,,,,spill detection,,,
,,,road death,,,,smart elevator*,,,,,,,spill response,,,
,,,road deaths,,,,smart energy,,,,,,,spill risk assessment,,,
,,,road fatalities,,,,smart energy service*,,,,,,,spill*,,,
,,,road fatality,,,,smart escalator*,,,,,,,spilled oil,,,
,,,road injuries,,,,smart freezer*,,,,,,,spills on water,,,
,,,road injury,,,,smart grid,,,,,,,Spinner Dolphin,,,
,,,road mortalities,,,,smart grid tech*,,,,,,,Spinner Dolphins,,,
,,,road mortality,,,,smart grids,,,,,,,Spisula solidissima,,,
,,,road rage,,,,smart heat*,,,,,,,sponsor* state*,,,
,,,road safety,,,,smart home applianc*,,,,,,,sport*,,,
